gene_id	gene_name	Anderson1B	Anderson2B	Barrow1B	Barrow2B	Bechtel1B	Bechtel2B	Bierek1B	Bierek2B	Bolong1B	Bolong2B	Bolong3B	Carey1B	Carey2B	Carroll1B	Carroll2B	Carroll3B	Chandler1B	Chandler2B	Cloquet1B	Cloquet2B	Colton1B	Colton2B	Cooper1B	Cooper2B	Fischer1B	Fischer2B	Foster1B	Foster2B	Greenwell1B	Greenwell2B	Greenwell3B	Halbert1B	Halbert2B	Heiss1B	Heiss2B	Howard1B	Howard2B	Hutter1B	Hutter2B	Keith1B	Keith2B	Klein1B	Klein2B	Lam1B	Lam2B	Martin1B	Martin2B	Max1B	Max2B	McFarland1B	McFarland2B	MJones1B	MJones2B	MJones3B	Murray1B	Pentz1B	Pentz2B	Porbandarwalla1B	Pratt1B	Pratt2B	Ptak1B	Ptak2B	Randolph1B	Randolph2B	Rothery1B	Rothery2B	Smith1B	Smith2B	Strople1B	Strople2B	Swenson1B	Swenson2B	Taucher1B	Taucher2B	Taylor1B	Taylor2B	Wells1B	Wells2B	Willoughby1B	Willoughby2B	Woolsey1B	Woolsey2B
ENSCAFG00845013031	NRDE2	0	2	4	4	10	0	5	36	0	8	1	7	6	13	15	14	10	17.125	0	3	0	3	2	1	0	3	0	1	1	0	12	3	3	15	2.578	15	4	11	4	3	1	7	12	0	0	3	0	13	5	21	7	30	0	0	3	1	0	35	2	0	31	1	48	14	10	6	0	8	1	0	4	0	2	9	5	2	15	23	2	5	34	3
ENSCAFG00845013032	ENSCAFG00845013032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013033	ENSCAFG00845013033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013034	TDRD6	0	0	0	1.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013035	ARHGEF25	2	2	20.999	23.999	4	0	7	22	0	8	4	1	28.999	3	4	3	29	88	0	12.999	0	7	24	4.001	8	3	9.848	5	0	0	61	1	22.999	19	6	4	14	6	6	7	5	6	13	1	0	1	0	18	0	45.959	99	3	3.999	0	13	10	0	32	7	6	0	1	42	9	4	6	0	16	3	0	12	18.999	11	30	18	7	31	50	11	11.999	49	10
ENSCAFG00845013036	U6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013037	DNAI7	0	0	1	5	1	0	0	3	0	1	0	4	0	4	0	0	0	2	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	2	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	1	0	0	2	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0
ENSCAFG00845013038	MYCBPAP	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0
ENSCAFG00845013039	METTL24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013040	ENSCAFG00845013040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013041	PHKG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013042	YKT6	1	2	20	28	39	6	10	77	0	33	6	12	21	30	25	26	29	119	0	12	0	4	15	0	10	19	6	3	0	0	32	0	10	17	7	25	19	18	29.918	20	2	16	47	0	0	2	0	18	17	33	9	72	7	0	5	16	0	131	4	5	104	0	96	26	25	31	8	24	8	0	14	0	9	36	26	4	27	95	28	11	75.946	7
ENSCAFG00845013043	ENSCAFG00845013043	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	1.042	2	3	2	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
ENSCAFG00845013044	TPK1	6.001	3	4	37.001	46	0	20	58	0	20	6.001	7.001	36	55.999	29.999	38.001	24	26	0	20	4	16	18	8	13	21.999	1	13.999	1	0	29	0	13	21	21	25.001	16.001	27	16	42.999	0	36.001	47	0	0	5.999	0	21.001	22.001	43	18	90	0	4	8	16	0	93	15	0	52	1	53.999	17	54.001	61	15	63	0	0	29	0	16	39	14	5	13	30	26	29.001	37.999	4
ENSCAFG00845013045	ENSCAFG00845013045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSCAFG00845013046	ENSCAFG00845013046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00845013047	CRTAM	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
